LocationName,LocationType,Address
Northwest-Shoals Community College - Phil Campbell,Institution,"2080 College Road, Phil Campbell, AL 35881"
Oakwood University,Institution,"7000 Adventist Blvd N.W., Huntsville, AL 35896"
Alabama Southern Community College,Institution,"2800 South Alabama Avenue, Monroeville, AL 36460"
Jackson Campus,Additional Location,"235 College Avenue, Jackson, AL 36545"
Thomasville Campus,Additional Location,"30755 Hwy. 43 South, Thomasville, AL 36784"
Gilbertown Campus,Additional Location,"251 College Street, Gilbertown, AL 36908"
Demopolis Campus,Additional Location,"186 Field of Dreams Drive, Demopolis, AL 36732"
Prince Institute - Southeast,Institution,"596 W. Lamont Road, Elmhurst, IL 60126"
Prince Institute - Great Lakes,Additional Location,"596 W. Lamont Road, Suite 110, Elmhurst, IL 60126"
Prince Institute - Rocky Mountains,Additional Location,"9051 Harlan Street, Unit 20, Westminster, CO 80031-2901"
Reid State Technical College,Institution,"I-65 and Highway 83, Evergreen, AL 36401"
Reid State Technical College Extension Campus,Additional Location,"300 Jaguar Drive, Evergreen, AL 36401"
Reid State Technical College at Jeff Davis Community College,Additional Location,"201 Brookwood Road, Atmore, AL 35604"
"Reid State Technical College, South Baldwin Transportation Site",Additional Location,"202 Sanborn Avenue, Summerdale, AL 36580"
Bishop State Community College,Institution,"351 North Broad Street, Mobile, AL 36603-5362"
Samford University,Institution,"800 Lakeshore Drive, Birmingham, AL 35229-2240"
Shelton State Community College,Institution,"9500 Old Greensboro Rd, Tuscaloosa, AL 35405-8522"
Shelton State Community College - C.A. Fredd Campus,Additional Location,"3401 Martin Luther King Blvd., Tuscaloosa, AL 35401"
Snead State Community College,Institution,"220 North Walnut Street, Boaz, AL 35957-0734"
University of South Alabama,Institution,"307 N University Blvd, Mobile, AL 36688-0002"
University of South Alabama - Springhill,Additional Location,"1504 Springhill Avenue, Mobile, AL 36604"
Southern Community College,Institution,"205 S Main St, Tuskegee, AL 36083-0688"
Spring Hill College,Institution,"4000 Dauphin St, Mobile, AL 36608-1791"
Southeastern Bible College,Institution,"2545 Valleydale Road, Birmingham, AL 35244-2083"
Stillman College,Institution,"3601 Stillman Boulevard, Tuscaloosa, AL 35403"
Talladega College,Institution,"627 W Battle St, Talladega, AL 35160"
H. Councill Trenholm State Community College,Institution,"P. O. Box 10048, Montgomery, AL 36108"
H Councill Trenholm State Technical College - Patterson Campus,Additional Location,"3920 Troy Highway, Montgomery, AL 36116-2699"
Troy University,Institution,"University Avenue, Troy, AL 36082-0001"
Troy University - Dothan,Additional Location,"501 University Drive, Dothan, AL 36304"
Troy University - Montgomery,Additional Location,"231 Montgomery Street, Montgomery, AL 36103-4419"
Troy University - Phenix City,Additional Location,"One University Place, Phenix City, AL 36869"
Troy University - Atlantic Region,Additional Location,"5425 Robin Hood Rd Suite 1B, Norfolk, VA 23513"
Troy University - Western Region,Additional Location,"5825 Delmonico Drive Suite 120, Colorado Springs, CO 80919"
Troy University - Southeast Region,Additional Location,"506 Manchester Expressway Suite B20, Columbus, GA 31914"
Troy University - Atlantic Region,Additional Location,"620 John Paul Jones Cir Dept. of the Navy/Navy Med, Portsmouth, VA 23703-2197"
Tuskegee University,Institution,"Kresge Center, 3rd Floor, Tuskegee, AL 36088-1920"
United States Sports Academy,Institution,"One Academy Dr, Daphne, AL 36526-7055"
Bevill State Community College,Institution,"1411 Indiana Avenue, Jasper, AL 35501"
BSCC Business Incubator,Additional Location,"3512 Industrial Dr., Jasper, AL 35501"
Fayette Campus,Additional Location,"2631 Temple Avenue, Fayette, AL 35555"
Hamilton Campus,Additional Location,"P.O. Drawer 9, Hamilton, AL 35570"
Jasper Campus,Additional Location,"1411 Indiana Avenue, Jasper, AL 35501"
University of Alaska Anchorage,Institution,"3211 Providence Drive, Anchorage, AK 99508-8046"
University of Alaska Fairbanks,Institution,"Signers' Hall, Fairbanks, AK 99775-7480"
Tanana Valley campus,Additional Location,"604 Barnette Street, Fairbanks, AK 99701"
University of Alaska Southeast,Institution,"11120 Glacier Highway, Juneau, AK 99801-8697"
Alaska Pacific University,Institution,"4101 University Dr, Anchorage, AK 99508"
Alaska Vocational Technical Center,Institution,"809 Second Avenue, Seward, AK 99664-0889"
Alaska Vocational Technical Center - Allied Health Department,Additional Location,"1251 Muldoon Road, Suite 103, Anchorage, AK 99504"
Charter College,Institution,"2221 E Northern Lights Blvd Ste 120, Anchorage, AK 99508"
Charter College - Mat-Su,Additional Location,"721 West Parks Highway, Unit 5, Wasilla, AK 99654"
Charter College - Pasco,Additional Location,"5278 Outlet Drive, Pasco, AL 99301"
Charter College - Oxnard,Additional Location,"2000 Outlet Center Drive, Suite 150, Oxnard, CA 93036"
Charter College - Vancouver,Additional Location,"Columbia Tech Center, 17200 SE Mill Plain Boulevard, Vancouver, WA 98683"
Charter College - Bellingham,Additional Location,"410 West Bakerview Road, Building F, Bellingham, WA 98226"
Charter College - Fife,Additional Location,"3700 Pacific Highway East, Suite 150, Fife, WA 98424"
Charter College- Lynwood,Additional Location,"19401 40th Avenue West, Lynwood, WA 98036"
Charter College - Billings,Additional Location,"1595 Grand Avenue, Suite 230, Billings, MT 59102"
Charter College - Canyon Country,Additional Location,"19034 Soledad Canyon Road, Canyon Country, CA 91351"
Charter College - East Wenatchee,Additional Location,"595 Grant Road, Suite 5, East Wenatchee, WA 98802"
Charter College - Lacey,Additional Location,"4520 Lacey Boulevard SE, Suite 40, Lacey, WA 98503"
Charter College - Lancaster,Additional Location,"43141 Business Center Parkway, Suite 109, Lancaster, CA 93535"
Charter College - Missoula,Additional Location,"1900 Brooks St, Suite 6, Missoula, MT 59801"
Charter College - Yakima,Additional Location,"2706 West Nob Hill Boulevard, Suite 106, Yakima, WA 98902"
Prince William Sound Community College,Institution,"303 Lowe Street, Valdez, AK 99686"
Sheldon Jackson College,Institution,"801 Lincoln Street, Sitka, AK 99835-7699"
Alaska Career College,Institution,"1415 E Tudor Road, Anchorage, AK 99507-1033"
Everest College - Phoenix,Institution,"10400 N. 25th Avenue, Suite 190, Phoenix, AZ 85021"
Everest College - Mesa,Additional Location,"5416 E. Baseline Rd, Mesa, AZ 85206"
Thunderbird School of Global Management,Institution,"15249 N 59th Ave, Glendale, AZ 85306-6000"
Thunderbird School of Global Management - Miami Campus,Additional Location,"3625 NW 82nd Avenue Ste. 205, Miami, FL 33116"
American Indian College,Institution,"10020 N 15th Ave, Phoenix, AZ 85021"
American Institute of Trucking,Institution,"440 S 54th Ave, Phoenix, AZ 85043-4729"
Carrington College - Phoenix,Institution,"8503 N 27th Ave, Phoenix, AZ 85051-4063"
Carrington College - Tucson,Additional Location,"201 N. Bonita Avenue, Tucson, AZ 85745"
Carrington College - Las Vegas,Additional Location,"5740 S. Eastern Avenue, Suite 140, Las Vegas, NV 89119"
Carrington College - Tri City Inc.,Additional Location,"1001 West Southern Avenue, Mesa, AZ 85210"
Carrington College - Westside,Additional Location,"2701 W Bethany Home Road, Phoenix, AZ 85017"
Carrington College - Online,Additional Location,"4742 North 24th Street, Suite 360, Phoenix, AZ 85016"
Carrington College - Albuquerque,Additional Location,"1001 Menual Boulevard, Albuquerque, NM 87107"
College America - Flagstaff,Institution,"399 S. Malpais Ln., 2nd Fl., Flagstaff, AZ 86001"
Arizona Academy of Beauty Inc,Institution,"5631 E Speedway Blvd, Tucson, AZ 85712"
Arizona Automotive Institute,Institution,"6829 N 46th Ave, Glendale, AZ 85301-3579"
International Institute of the Americas,Institution,"6049 N 43rd Ave, Phoenix, AZ 85019-1600"
Arizona State University,Institution,"P.O. Box 877705, Tempe, AZ 85287"
Arizona State University at the Downtown Phoenix Campus,Additional Location,"411 N. Central Ave, Phoenix, AZ 85004"
Arizona State University at the West Campus,Additional Location,"4701 W Thunderbird Rd, Glendale, AZ 85306"
Arizona State University at the Polytechnic Campus,Additional Location,"7001 E. Williams Field Rd., Mesa, AZ 85212-6053"
Arizona State University at Avondale Lattie Coor,Additional Location,"1406 North Central Avenue, Avondale, AZ 85323"
Arizona State University at Chinle Elementary School,Additional Location,"US 191 West Chinle, Chinle, AZ 86503"
Arizona State University at Joe Carlson Elementary,Additional Location,"1700 North Louis Avenue, Douglas, AZ 85607"
Arizona State University at Ganado Middle School (Ganado Unified School District,Additional Location,"Hwy. 264, Ganado, AZ 86505"
Arizona State University at Mirage School (Deer Valley School District),Additional Location,"3910 W Groves Avenue, Glendale, AZ 85308"
Arizona State University at Sonoran Sky Elementary (Pendergast PDS Site),Additional Location,"10150 W. Missouri Avenue, Glendale, AZ 85301"
Arizona State University at Lake Havasu,Additional Location,"98 Swanson Plaza, Lake Havasu City, AZ 86043"
Arizona State University at Cloves Campbell School (Roosevelt District PDS),Additional Location,"2624 E. South Mountain Avenue, Phoenix, AZ 85042"
Arizona State University at Longview School,Additional Location,"1209 East Indian School Road, Phoenix, AZ 85014"
Arizona State University at Madison Park Middle School (Madison Elem District),Additional Location,"1431 E. Campbell Avenue, Phoenix, AZ 85014"
Arizona State University at Mayo Clinic Hospital,Additional Location,"5777 East Mayo Boulevard, Phoenix, AZ 85054"
Arizona State University at Palomino Elementary School (Paradise Valley PDS Site),Additional Location,"15833 N 19th Street, Phoenix, AZ 85032"
Arizona State University at Phoenix College (Phoenix Metro Area),Additional Location,"1202 West Thomas Road, Phoenix, AZ 85013"
Arizona State University at Gadsden Jr. High School (San Luis PDS Site),Additional Location,"963 N. 8th Avenue, San Luis, AZ 85349"
Arizona State University at Hohokam School,Additional Location,"8451 E. Oak Street, Scottsdale, AZ 85251"
Arizona State University at TB&B Parkside,Additional Location,"8355 E. Hartford Drive, Scottsdale, AZ 85260"
Arizona State University at ASU Research Park,Additional Location,"7700 South River Parkway, Bldg. #118, Tempe, AZ 85084"
Arizona State University at Eastern Arizona College,Additional Location,"615 N Stadium Avenue, Thatcher, AZ 85552"
Arizona State University at Sunnyside Unified School District,Additional Location,"2238 E. Ginter Road, Tucson, AZ 85706"
Arizona State University at Tucson,Additional Location,"340 N. Commerce Park Loop, Tucson, AZ 85745"
Arizona State University at Michael Anderson Elementary School,Additional Location,"45 S. 3rd Avenue, Avondale, AZ 85323"
Arizona State University at San Carlos Unified School District,Additional Location,"45 San Carlos Avenue, San Carlos, AZ 85550"
Arizona State University at Sunnyside Unified School District (Esperanza Elem Sc,Additional Location,"2353 E. Bantam Road, Tucson, AZ 85706"
Arizona State University at Flagstaff,Additional Location,"1200 S Beaver Street, Flagstaff, AZ 86011"
Arizona State University at Chandler Instructional Resource Center,Additional Location,"500 West Galveston Street, Chandler, AZ 85225"
Arizona State University at Dysart District Office,Additional Location,"11405 North Dysart Road, El Mirage, AZ 85335"
Arizona State University at Barry Goldwater High School,Additional Location,"2820 West Rose Garden Lane, Phoenix, AZ 85027"
Arizona State University at Isaac Junior High School,Additional Location,"3402 West McDowell Road, Phoenix, AZ 85009"
Arizona State University at Kyrene de la Mariposa School,Additional Location,"50 E. Knox Rd., Tempe, AZ 85284"
Arizona State University at Madison School No. 2,Additional Location,"2002 East Campbell Avenue, Phoenix, AZ 85016"
Arizona State University at Mesa School Student Service Center,Additional Location,"1025 North Country Club Drive, Mesa, AZ 85201"
Arizona State University at Mohave School,Additional Location,"5520 North 86th Street, Scottsdale, AZ 85250"
Arizona State University at Phoenix Prep Academy,Additional Location,"735 East Filmore Street, Phoenix, AZ 85006"
Arizona State University at Supai Middle School,Additional Location,"6720 E. Continental, Scottsdale, AZ 85257"
Arizona State University at Tempe Elementary District #3,Additional Location,"3205 South Rural Road, Tempe, AZ 85282"
Arizona State University at Tempe Learning Center,Additional Location,"3500 South Rural Road, Tempe, AZ 85282"
Arizona State University at Tempe Union High School,Additional Location,"1730 South Mill Avenue, Tempe, AZ 85281"
Arizona State University at Peoria Unified District #11,Additional Location,"6330 West Thunderbird Road, Glendale, AZ 85306"
Arizona State University at Basha Elementary School,Additional Location,"3535 S. Basha Rd., Chandler, AZ 85248"
Arizona State University at Corona Del Sol High School,Additional Location,"1001 East Knox Road, Tempe, AZ 85284"
Arizona State University at Sunnyslope Elementary,Additional Location,"801 West Peoria Avenue, Phoenix, AZ 85029"
Arizona State University at Val Vista Lakes Elementary School,Additional Location,"1030 North Blue Grotto, Gilbert, AZ 85234"
Arizona State University at Verrado Middle School,Additional Location,"20880 West Main Street, Buckeye, AZ 85396"
Arizona State University at Whiteriver Elementary School,Additional Location,"P.O. 190; 1 North Ave., Whiteriver, AZ 85941"
Arizona State University at Deer Valley School District,Additional Location,"20402 North 15th Avenue, Phoenix, AZ 85027"
Arizona State University at Indian Oasis Intermediate School,Additional Location,"111 Main Street, Sells, AZ 85634"
Arizona State University at Madison Elementary District #3,Additional Location,"5601 North 16th Street, Phoenix, AZ 85016"
Arizona State University at Madison School No. 3,Additional Location,"5601 North 16th Street, Phoenix, AZ 85016"
Arizona State University at SkySong,Additional Location,"1475 N. Scottsdale Road, Scottsdale, AZ 85257-3538"
Arizona State University at El Mirage Elementary School (Dysart site),Additional Location,"13500 N. El Mirage Road, El Mirage, AZ 85335"
Arizona State University at Arizona Western College,Additional Location,"2020 South Avenue 8 East, Yuma, AZ 85365"
Arizona State University at Centerra Mirage,Additional Location,"15151 W Centerra Drive South, Goodyear, AZ 85338"
Arizona State University at Central Arizona College,Additional Location,"8470 N. Overfield Road, Coolidge, AZ 85228"
Arizona State University at Navajo Education Building,Additional Location,"One Morgan Boulevard, Window Rock, AZ 86504"
Arizona State University at Thunderbird School of Global Management,Additional Location,"1 Global Place, Glendale, AZ 85306"
The Mercado,Additional Location,"550 E. Van Buren Street, Phoenix, AZ 85004"
Northern Arizona University,Additional Location,"South San Francisco Street, Flagstaff, AZ 86011"
Litchfield  Elementary District,Additional Location,"553 Plaza Circle Litchfield Park, Litchfield Park, AZ 85340"
City of Peoria Municipal Complex,Additional Location,"8401 W. Monroe Street, Peoria, AZ 85345"
General Dynamics Facility,Additional Location,"8201 E. McDowell Road, Scottsdale, AZ 85250"
Arizona State University - Nevitt Elementary School,Additional Location,"4525 E St Anne, Phoenix, AZ 85042"
First National Bank of Arizona,Additional Location,"17600 N Perimeter Dr, Scottsdale, AZ 85255"
Pendergast Learning Center,Additional Location,"3802 N. 91st Avenue, Phoenix, AZ 85037"
Mohave District Annex,Additional Location,"8505 E. Valley View Road, Scottsdale, AZ 85250"
Hudson School,Additional Location,"1325 E Malibu Dr, Tempe, AZ 85282"
Maricopa Community Center District,Additional Location,"Maricopa Community College District, Tempe, AZ 85281"
Evans Elementary School,Additional Location,"4525 S. College Ave., Tempe, AZ 85282"
Kyrene del Akimel School,Additional Location,"2720 E Liberty Ln, Phoenix, AZ 85048"
Navajo Nation Museum,Additional Location,"P.O. Box 1840, Windowrock, AZ 86515"
Garfield School,Additional Location,"811 N 13th St, Phoenix, AZ 85006"
Tempe Union High School District,Additional Location,"500 West Guadalupe Road, Tempe, AZ 85283"
Balsz Elementary District,Additional Location,"4309 East Belleview Street, Phoenix, AZ 85008"
Milenio School,Additional Location,"4630 East Frye Road, Phoenix, AZ 85048"
Kyrene de Los Ninos School,Additional Location,"1330 East Dava Drive, Tempe, AZ 85283"
Kyrene de los Lagos Elementary School,Additional Location,"17001 South 34th Way, Phoenix, AZ 85048"
Southwest Human Development,Additional Location,"2850 North 24th Street, Phoenix, AZ 85008"
Scottsdale Healthcare-Shea,Additional Location,"9003 East Shea Boulevard, Scottsdale, AZ 85260"
Machan (William T.) School,Additional Location,"2140 East Virginia Avenue, Phoenix, AZ 85006"
Holdeman Elementary School,Additional Location,"1326 West 18th Street, Tempe, AZ 85281"
Adams Elementary School,Additional Location,"730 South Longmore, Mesa, AZ 85202"
Gilbert Civic Center,Additional Location,"75 E. Civic Center Drive, Gilbert, AZ 85296"
Gilbert Elementary School,Additional Location,"175 West Elliot Road, Gilbert, AZ 85233"
Kyrene del Norte School,Additional Location,"1331 East Redfield Road, Tempe, AZ 85283"
Pomeroy School,Additional Location,"1507 West Shawnee Drive, Chandler, AZ 85224"
Arizona State University - Cox Communications,Additional Location,"1550 W Deervalley Road, Phoenix, AZ 85027"
Community Services Building,Additional Location,"200 East Curry Road, Building #130, Tempe, AZ 85284"
Jordan School,Additional Location,"3220 North Carriage Lane, Chandler, AZ 85224"
Arizona State University - Gateway Elementary School,Additional Location,"1100 North 35th Street, Phoenix, AZ 85008"
Dine College,Additional Location,"P.O. Box 407; 1 Circle Drive, Tsaile, AZ 86556"
Augustus Shaw Elementary School,Additional Location,"123 N. 13th Street, Phoenix, AZ 85034"
Keller Elementary School,Additional Location,"1445 E. Hilton Av, Mesa, AZ 85204"
Herrera School,Additional Location,"1305 South 11th Street, Phoenix, AZ 85034"
Kyrene Aprende Middle School,Additional Location,"777 N. Desert Breeze Blvd., Chandler, AZ 85226"
Cochise College - Downtown Center,Additional Location,"2600 East Wilcox Drive, Sierra Vista, AZ 85635"
Arizona State University,Additional Location,"500 North 3rd Street, Phoenix, AZ 85004-0698"
Yavapai College - Prescott Main Campus,Additional Location,"1100 E. Sheldon Street, Prescott, AZ 86301"
Yavapai College - Prescott Valley Campus,Additional Location,"6955 Panther Path, Prescott Valley, AZ 86314"
Pima Community College - Northwest Campus,Additional Location,"7600 N. Shannon Rd., Tucson, AZ 85709-7330"
Red Mountain Campus (Mesa CC),Additional Location,"7110 E. McKellips Road, Mesa, AZ 85215"
Washington Center,Additional Location,"1800 I Street NW, Washington, DC 20006"
Thunderbird School of Global Management,Additional Location,"400 East Van Buren, Phoenix, AZ 85004"
Echo Mountain Intermediate School,Additional Location,"1811 E. Michigan Avenue, Phoenix, AZ 85022"
Pima Community College - West Campus,Additional Location,"2202 West Anklam Road, Tucson, AZ 85709-0001"
Arizona Western College,Institution,"P.O. Box 929, Yuma, AZ 85366"
Arizona Western Collage at Entrepreneurial Center,Additional Location,"1351 S. Redondo Center Drive, Yuma, AZ 85365"
Arizona Western Collage at San Luis Learning Center,Additional Location,"1340 N 8th Avenue, San Luis, AZ 85349"
Arizona Western College at Somerton Center,Additional Location,"1011 N. Somerton Avenue, Somerton, AZ 85350"
Arizona Western College at La Paz Learning Center,Additional Location,"601 W. 11th Street, Parker, AZ 85344"
La Paz Learning Center,Additional Location,"1109 S. Geronimo Avenue, Parker, AZ 85344"
Massage Therapy Center,Additional Location,"2451 South Avenue A, Suite E101, Yuma, AZ 85364"
San Luis Technology Institute,Additional Location,"1135 N. Main Street, San Luis, AZ 85349"
AWC LETA Facility,Additional Location,"1280 W Desert Hills Drive, Yuma, AZ 85364"
Yuma Catholic High School,Additional Location,"2100 West 28th Street, Yuma, AZ 85364"
Aztec High School,Additional Location,"2440 West 28th Street, Yuma, AZ 85364"
Wellton Learning Center,Additional Location,"28851 County 12th Street, Wellton, AZ 85356"
Vista High School,Additional Location,"3150 South Avenue A, Yuma, AZ 85364"
Yuma Fire Station No. 5,Additional Location,"6490 East 26th Street, Yuma, AZ 85365"
Quartzsite Learning Center,Additional Location,"695 North Kofa Avenue, Quartzsite, AZ 85346"
Quartzsite Fire Station,Additional Location,"70 Tyson Street, Quartzsite, AZ 85346"
Arizona State Prison Complex,Additional Location,"7125 East Cesar Chavez Blvd, Yuma, AZ 85365"
STEDY,Additional Location,"899 East Plaza Circle, Yuma, AZ 85365"
M.C.A.S. Education Center,Additional Location,"Building 850, Yuma, AZ 85365"
University of Arizona,Institution,"1401 E University, Tucson, AZ 85721-0066"
University of Arizona - University of Arizona South,Additional Location,"1140 N. Colombo Ave., Sierra Vista, AZ 85635"
UA College of Medicine - Phoenix and Partnership with ASU,Additional Location,"550 E. Van Buren Street, Phoenix, AZ 85004"
University of Arizona - Douglas,Additional Location,"4190 W Highway 80, Douglas, AZ 85607-6190"
University of Arizona at Eller MBA,Additional Location,"16425 N. Pima Road, Suite 370, Scottsdale, AZ 85620"
"University of Arizona at Pima Community College, East",Additional Location,"8181 E. Irvington Road, Tucson, AZ 85709"
University of Arizona - Downtown,Additional Location,"Roy Place Building, 4460 North Stone Avenue, Tucson, AZ 85701"
University of Arizona - Pima Desert Vista,Additional Location,"5901 South Calle Santa Cruz, Tucson, AZ 85709-6000"
University of Arizona - Pima Downtown,Additional Location,"1255 N. Stone Avenue, Tucson, AZ 85709-3000"
University of Arizona - Pima West,Additional Location,"2202 West Anklam Road, Tucson, AZ 85709-0001"
University of Arizona - Science and Technology Park,Additional Location,"9040 S. Rita Road, Tucson, AZ 85747"
University of Arizona - Santa Cruz,Additional Location,"455 N. Arroyo Blvd. Suite 25, Nogales, AZ 85621"
University of Arizona at Chandler Downtown,Additional Location,"125 E. Commonwealth Ave., Chandler, AZ 85225"
University of Arizona at Paradise Valley Community College,Additional Location,"18401 N. 32nd Street, Phoenix, AZ 85302"
University of Arizona at Vail Unified School District,Additional Location,"12775 E. Mary Ann Cleveland Way, Vail, AZ 85641"
University of Arizona - Nogales,Additional Location,"2021 N. Grand Ave., Nogales, AZ 85621"
University of Arizona College of Medicine,Additional Location,"1501 North Campbell, Tucson, AZ 85724-5002"
